model_key,from_id,to_id,n_compounds,r_squared,correlation,mean_error_abs,median_error_abs,sd_error_abs,q95_error_abs,max_error_abs,mean_error_rel,median_error_rel,sd_error_rel,q95_error_rel,max_error_rel,mean_ci_width,median_ci_width,sd_ci_width,q95_ci_width,max_ci_width,mean_ci_width_rel,median_ci_width_rel,sd_ci_width_rel,q95_ci_width_rel,max_ci_width_rel
0240_to_0392,0240,0392,186,0.9400956939178945,0.9525304282347354,0.2878015295378413,0.11209380134218527,0.4981982419056296,1.096474322696253,4.412427982259603,12.430886972336829,4.053775673483322,26.10114957742635,35.1916573566133,228.11659803738706,0.43097918974148364,0.35754852995729003,0.30302006605193316,0.9753919812459803,2.1889281336355033,16.98215132092652,13.912266839225188,11.845173321914075,37.32544480326734,51.87835095145089
0240_to_0403,0240,0403,151,0.7387154195104104,0.8239546268736335,0.47285787641162086,0.2678814782879746,0.5411683118423064,1.5135850313170234,3.00645290590493,31.903649342365153,13.373058274886656,47.18660328287337,152.9763310367888,206.1466066878602,0.6962493559655692,0.9668131294610243,0.46602178770537994,1.2030532118459636,1.4723537687346884,34.967207208275106,31.474745433012625,19.869715676312584,67.93754486936066,70.49963377156097
0240_to_0415,0240,0415,44,0.9549818754060166,0.9624128244265501,0.3775047186716877,0.15356775015573643,0.7201576163339377,2.3370866669426196,3.2618597540091265,5.859099244348154,1.9758457067474757,8.7715779554897,24.894276583633545,33.943454792079706,1.5845487627847925,1.372448506294016,0.4784176941927688,2.5579907292932416,2.920609812583347,27.082288292858376,24.203186118071407,17.036657139324138,65.3171974927124,96.62467242239701
0240_to_0429,0240,0429,25,0.9608292037138045,0.8889202210402304,0.18220815990927172,0.06298995105707306,0.2869074315139898,0.8137216854344521,1.2109829507296852,7.5580227979646235,2.5969031866933365,14.030594936720865,27.306684349676253,67.65267881171425,1.3945380209965652,0.6060386700982225,3.1003048510239624,1.980568894782362,16.039940912145873,33.74694835038028,24.51936813213956,32.181870080732374,92.96498594232189,159.03642528684097
0240_to_0436,0240,0436,126,0.8894645263930963,0.9368099556766737,0.6876884840212429,0.45414640252023286,0.7312116169608188,2.1099461840339995,4.222941151397481,9.814410168575963,6.166700840583711,11.125224804666273,27.53218112877491,83.22522164430914,1.1936948393484836,1.0366336711177073,0.6515309198299998,2.048503464153727,3.627942314176374,22.615648106874175,12.369778057450846,38.33305749942132,47.89259277385307,263.00845505840005
0240_to_0437,0240,0437,10,0.7537288857215948,0.7857524426152238,0.7346867911058277,0.21720292684505782,1.3382198073492528,2.976115490092738,4.398086220437402,13.463685451236712,7.835865804822134,18.888690357877525,43.739763840229905,64.09335791951911,5.220969277175002,5.536026037027055,1.0583749232276487,6.42439094301389,6.640953909522648,187.92861178346052,112.64255915742717,162.40682854097088,421.67050174431057,435.88480089842534
0244_to_0048,0244,0048,198,0.8850748955717104,0.9337794011825462,0.47453999327990665,0.1278801622492467,1.0032055924886427,2.4520944173347003,7.680914615378585,21.67018588793326,7.295065242287486,81.65684821521974,59.031442922174286,936.6969043144616,0.6153386854022773,0.37614730424859566,0.7049066028241033,1.7053228073743478,5.126139168962613,21.920902866856885,16.586258022655038,15.280102586987853,51.816124861937915,52.919592385891875
0244_to_0063,0244,0063,29,0.8787500197883135,0.9393081204677551,0.4347157314236248,0.1597413481404497,0.7694993902754947,1.4468511962356299,3.914288040633033,23.82870648212568,6.050808641683701,33.66562860050972,95.46638516111257,107.43371486485415,1.3714753295901176,1.1378994553630322,0.8345902398151056,2.309569138282382,5.170737581555638,67.34329125286408,65.28013234334783,51.44297117009496,159.22026825630397,179.56824248009974
0244_to_0210,0244,0210,104,0.840670705387508,0.8876589239354319,0.734778480820247,0.22073395146794983,1.7161108965083345,2.7304644125768,9.855287947806437,27.15524805186861,11.715015041014205,104.37203660355237,55.18296980030442,1065.4365348979932,1.4969536737567601,1.0220428718630126,1.9345130977709897,4.633980883404656,11.990231802215941,41.12714965677003,38.13594659392333,15.98743688575911,71.6962086428931,82.51327737285466
0244_to_0219,0244,0219,11,0.9171975642420426,0.9253949904019309,0.22480008544539268,0.1413825920129117,0.25723468978016445,0.6730278588532244,0.8467329238080987,7.0978929613936765,4.049206411459894,8.64821185088038,20.845420445225496,31.244757336092206,2.967735636174896,1.2559247687719668,5.5160615736082095,10.95895325481731,19.48499954549716,76.5109252695064,46.56054384132416,95.58782842748438,244.72423825454172,348.1261169386935
0244_to_0236,0244,0236,471,0.9599083273642367,0.9779890411625531,0.13639169847006472,0.04935006208800141,0.386822751842592,0.4303076822889221,4.671437797590886,6.4803689628643975,1.3275750692393677,23.37949015042833,22.196218284332474,458.43354245249134,0.12192441786331516,0.10415442808431141,0.0687971205015845,0.2580009948416626,0.4825712267882114,6.044273878701776,2.4252946108173856,7.312104933828295,20.514390539122367,47.81382206942036
0244_to_0238,0244,0238,480,0.9686336835672635,0.9827892238535704,0.12473908812135304,0.05003481650632913,0.34428794955088055,0.4506445372376553,4.677106757208093,6.133430829912143,1.4883794933838796,23.945913151889403,20.92393683820987,484.1725421540469,0.12682826243308382,0.1126714300919609,0.06960415802178864,0.23433247429848053,0.7615200254948711,6.247616043082892,2.6729460885959533,7.200691770926578,21.06427534981465,46.37551955304839
